eval,mse,grad_norm,time_s
1,8364.013671875,153356.0625,0.024074792861938477
2,8364.015625,153356.0625,0.04306650161743164
3,8364.015625,153356.078125,0.06147909164428711
4,8364.013671875,153356.0625,0.07888317108154297
5,8364.013671875,153356.0625,0.09652423858642578
6,8364.013671875,153356.0625,0.11428713798522949
7,6676.17529296875,138055.40625,0.13096356391906738
8,6676.17626953125,138055.421875,0.1467902660369873
9,6676.17578125,138055.421875,0.1632544994354248
10,6676.17529296875,138055.40625,0.18142294883728027
11,6676.17529296875,138055.40625,0.20101237297058105
12,6676.17529296875,138055.40625,0.22269940376281738
13,4809.8037109375,118773.9921875,0.24083399772644043
14,4809.80419921875,118774.015625,0.25932836532592773
15,4809.8046875,118774.015625,0.2763817310333252
16,4809.8037109375,118773.9921875,0.2926642894744873
17,4809.8037109375,118773.9921875,0.3081686496734619
18,4809.8037109375,118773.9921875,0.32401227951049805
19,3856.54638671875,102198.234375,0.34064173698425293
20,3856.5478515625,102198.2578125,0.35645556449890137
21,3856.548095703125,102198.2578125,0.3753209114074707
22,3856.54638671875,102198.234375,0.39363670349121094
23,3856.54638671875,102198.234375,0.4101119041442871
24,3856.54638671875,102198.234375,0.42647719383239746
25,2928.4814453125,91392.515625,0.444110631942749
26,2928.48193359375,91392.515625,0.46228671073913574
27,2928.482666015625,91392.53125,0.4802055358886719
28,2928.4814453125,91392.515625,0.497800350189209
29,2928.4814453125,91392.515625,0.5143587589263916
30,2928.4814453125,91392.515625,0.5323166847229004
31,2490.29296875,80680.890625,0.553098201751709
32,2490.29345703125,80680.90625,0.5742208957672119
33,2490.293701171875,80680.9140625,0.5931439399719238
34,2490.29296875,80680.890625,0.6113395690917969
35,2490.29296875,80680.890625,0.6280868053436279
36,2490.29296875,80680.890625,0.6452369689941406
37,1984.808349609375,69074.3203125,0.6620917320251465
38,1984.8092041015625,69074.34375,0.6783130168914795
39,1984.8095703125,69074.359375,0.6947529315948486
40,1984.808349609375,69074.3203125,0.7113406658172607
41,1984.808349609375,69074.3203125,0.7300455570220947
42,1984.808349609375,69074.3203125,0.7470879554748535
43,1667.552734375,59926.82421875,0.7629745006561279
44,1667.5533447265625,59926.828125,0.7785847187042236
45,1667.55322265625,59926.84375,0.7939887046813965
46,1667.552734375,59926.82421875,0.809542179107666
47,1667.552734375,59926.82421875,0.8248517513275146
48,1667.552734375,59926.82421875,0.8422329425811768
49,1428.0654296875,50656.359375,0.8592848777770996
50,1428.0657958984375,50656.3671875,0.8752000331878662
51,1428.0657958984375,50656.390625,0.893773078918457
52,1428.0654296875,50656.359375,0.9126198291778564
53,1428.0654296875,50656.359375,0.9306905269622803
54,1428.0654296875,50656.359375,0.9464852809906006
55,1287.4822998046875,44827.70703125,0.9630155563354492
56,1287.48291015625,44827.734375,0.9810445308685303
57,1287.4830322265625,44827.74609375,0.9983649253845215
58,1287.4822998046875,44827.70703125,1.0152578353881836
59,1287.4822998046875,44827.70703125,1.0314559936523438
60,1287.4822998046875,44827.70703125,1.0492231845855713
61,1093.9970703125,36296.31640625,1.065244197845459
62,1093.9971923828125,36296.32421875,1.0828399658203125
63,1093.99755859375,36296.35546875,1.1000802516937256
64,1093.9970703125,36296.31640625,1.115440845489502
65,1093.9970703125,36296.31640625,1.1308083534240723
66,1093.9970703125,36296.31640625,1.1471474170684814
67,1019.0487060546875,31920.751953125,1.1645941734313965
68,1019.0489501953125,31920.765625,1.1835334300994873
69,1019.0493774414062,31920.765625,1.2026567459106445
70,1019.0487060546875,31920.751953125,1.2238423824310303
71,1019.0487060546875,31920.751953125,1.242724895477295
72,1019.0487060546875,31920.751953125,1.264003038406372
73,921.4154052734375,23932.126953125,1.283003330230713
74,921.41552734375,23932.13671875,1.3004820346832275
75,921.4158325195312,23932.150390625,1.319044589996338
76,921.4154052734375,23932.126953125,1.3373377323150635
77,921.4154052734375,23932.126953125,1.356386661529541
78,921.4154052734375,23932.126953125,1.374755620956421
79,868.17138671875,17028.119140625,1.394404411315918
80,868.1715087890625,17028.1328125,1.413651704788208
81,868.1715698242188,17028.1640625,1.4332079887390137
82,868.17138671875,17028.119140625,1.451678991317749
83,868.17138671875,17028.119140625,1.4694080352783203
84,868.17138671875,17028.119140625,1.4859213829040527
85,842.9342651367188,13705.123046875,1.5029115676879883
86,842.9344482421875,13705.138671875,1.5204722881317139
87,842.9342651367188,13705.1455078125,1.5380678176879883
88,842.9342651367188,13705.123046875,1.5555124282836914
89,842.9342651367188,13705.123046875,1.5724232196807861
90,842.9342651367188,13705.123046875,1.5899858474731445
91,833.5314331054688,14050.220703125,1.6071884632110596
92,833.5314331054688,14050.220703125,1.6255674362182617
93,833.5318603515625,14050.2412109375,1.6433820724487305
94,833.5314331054688,14050.220703125,1.6616263389587402
95,833.5314331054688,14050.220703125,1.6806917190551758
96,833.5314331054688,14050.220703125,1.7018308639526367
97,811.4954223632812,7467.03955078125,1.7225079536437988
98,811.4954223632812,7467.03955078125,1.7424113750457764
99,811.4954833984375,7467.0712890625,1.7643342018127441
100,811.4954223632812,7467.03955078125,1.7849693298339844
101,811.4954223632812,7467.03955078125,1.806617021560669
102,811.4954223632812,7467.03955078125,1.8290026187896729
103,810.7503662109375,6981.59228515625,1.8499798774719238
104,810.7503662109375,6981.59228515625,1.8686575889587402
105,810.7504272460938,6981.60498046875,1.8858234882354736
106,810.7503662109375,6981.59228515625,1.90360689163208
107,810.7503662109375,6981.59228515625,1.9218978881835938
108,810.7503662109375,6981.59228515625,1.950075626373291
109,810.4764404296875,6676.677734375,1.9687066078186035
110,810.4764404296875,6676.677734375,1.9869787693023682
111,810.4761962890625,6676.689453125,2.0050253868103027
112,810.4764404296875,6676.677734375,2.0234436988830566
113,810.4764404296875,6676.677734375,2.0414364337921143
114,810.4764404296875,6676.677734375,2.0579590797424316
115,811.1024780273438,7241.7041015625,2.073298215866089
116,810.7174072265625,6947.599609375,2.0885040760040283
117,810.5844116210938,6814.96337890625,2.103895664215088
118,810.51904296875,6732.22705078125,2.1200098991394043
119,810.4956665039062,6697.96630859375,2.1377618312835693
120,810.4849853515625,6686.9453125,2.15462589263916
121,810.4805297851562,6681.44677734375,2.1736626625061035
122,810.4779052734375,6678.87646484375,2.1908857822418213
123,810.4766845703125,6677.7197265625,2.207689046859741
124,810.4766235351562,6677.181640625,2.223766803741455
125,810.4765625,6676.90869140625,2.2406978607177734
126,810.476318359375,6676.7685546875,2.25791072845459
127,810.476318359375,6676.7685546875,2.2751681804656982
128,810.476318359375,6676.787109375,2.2912940979003906
129,810.476318359375,6676.7685546875,2.306684970855713
130,810.476318359375,6676.7685546875,2.3220183849334717
131,810.476318359375,6676.7685546875,2.3404197692871094
132,810.4761352539062,6676.8369140625,2.3585076332092285
133,810.4761352539062,6676.8369140625,2.3758249282836914
134,810.4761962890625,6676.8564453125,2.3916969299316406
135,810.4761352539062,6676.8369140625,2.406977415084839
136,810.4761352539062,6676.8369140625,2.422194480895996
137,810.4761352539062,6676.8369140625,2.4376673698425293
138,810.47607421875,6676.7255859375,2.4535419940948486
139,810.47607421875,6676.7255859375,2.4689393043518066
140,810.4762573242188,6676.74365234375,2.48414945602417
141,810.47607421875,6676.7255859375,2.5040552616119385
142,810.47607421875,6676.7255859375,2.5234029293060303
143,810.47607421875,6676.7255859375,2.5423524379730225
144,810.4757080078125,6676.61669921875,2.560731887817383
145,810.4757080078125,6676.61669921875,2.579143762588501
146,810.4759521484375,6676.62255859375,2.596959352493286
147,810.4757080078125,6676.61669921875,2.613440990447998
148,810.4757080078125,6676.61669921875,2.628652334213257
149,810.4757080078125,6676.61669921875,2.643850088119507
150,810.4761962890625,6676.55322265625,2.659121036529541
151,810.4756469726562,6676.6064453125,2.6763527393341064
152,810.4757080078125,6676.61376953125,2.6924819946289062
153,810.4757080078125,6676.61669921875,2.7093822956085205
154,810.4757080078125,6676.61669921875,2.7264485359191895
155,810.4757080078125,6676.61669921875,2.742246627807617
156,810.4757080078125,6676.61669921875,2.7576513290405273
157,810.4759521484375,6676.62255859375,2.7728190422058105
158,810.4757080078125,6676.61669921875,2.78971004486084
159,810.4757080078125,6676.61669921875,2.8055989742279053
160,810.4757080078125,6676.61669921875,2.822031259536743
