arch,epoch,train_mse,test_mse,time_s
low,1,0.026420000788163055,0.0018684571222501232,0.500166654586792
low,2,0.0007734328819258901,0.000294648085787714,0.9174587726593018
low,3,0.0002370518184431024,0.0001806918354556361,1.3101065158843994
low,4,0.0001660266918572068,0.00021241619028745498,1.7120535373687744
low,5,0.00013698366717356046,0.00010895711463316285,2.175368309020996
low,6,0.00010296818998705766,8.836571044199406e-05,2.654340982437134
low,7,0.00010292514601711777,0.00016865048971165844,3.203716993331909
low,8,8.036170597320464e-05,0.00025684151308056203,3.6108131408691406
low,9,7.987337713447315e-05,6.42701671359704e-05,4.003005743026733
low,10,6.655605013127735e-05,7.208714723287329e-05,4.4646315574646
low,11,8.02624164862209e-05,6.610745402483983e-05,4.901112079620361
low,12,8.068661472035191e-05,0.00023660515843732086,5.476090431213379
low,13,5.9301081505096096e-05,0.00012487509167763067,6.190365791320801
low,14,8.622752861397616e-05,0.00011485644496675145,7.097778081893921
low,15,8.36090685300984e-05,0.00022609496892905456,8.14255166053772
low,16,0.00012170915723056003,5.1588534606320965e-05,9.183826684951782
low,17,5.095798099897696e-05,6.444174629150632e-05,10.15867304801941
low,18,5.020811665665612e-05,0.0001727596406473164,11.182778120040894
low,19,8.549153204843275e-05,5.120878105368861e-05,12.14973521232605
low,20,4.3238311991444786e-05,5.63627574902444e-05,13.10289716720581
low,21,7.560333909747318e-05,8.684802509997873e-05,14.06972336769104
low,22,0.00012732107180371796,0.00030693288662153833,15.060145139694214
low,23,7.475125975443834e-05,0.00010200600468608095,16.07478356361389
low,24,5.049463152317912e-05,0.0001120003004697092,17.109888315200806
low,25,8.750333069077566e-05,0.00014923544160333124,18.167341470718384
low,26,6.778242586733541e-05,8.609257635358285e-05,19.25947070121765
low,27,4.587012126648915e-05,9.389584150259442e-05,20.299695253372192
low,28,5.4161973027724093e-05,8.13039043853852e-05,21.39100193977356
low,29,8.229277968480759e-05,4.0536116547956866e-05,22.540596961975098
low,30,5.749333335684655e-05,0.00016130399973840115,23.656630039215088
low,31,7.209749379729725e-05,0.00010347955205670974,24.838903665542603
low,32,6.0446841210002525e-05,8.733684266422023e-05,26.07859468460083
low,33,4.296919865241348e-05,5.8801614517157776e-05,27.413575649261475
low,34,7.037163090486006e-05,3.63179710706042e-05,28.675016164779663
low,35,6.413142883419905e-05,3.372552658974916e-05,29.888858318328857
low,36,5.892445505279201e-05,5.5446439294795945e-05,31.138740062713623
low,37,9.114629793574832e-05,3.816907910538461e-05,32.40816307067871
low,38,3.63799098274533e-05,0.00012375170301814426,33.666690826416016
low,39,5.327977697478756e-05,5.0753304945983667e-05,34.94744896888733
low,40,3.0032714394937185e-05,3.644330249795879e-05,36.235973834991455
low,41,4.453347307637821e-05,2.9410108177120142e-05,37.56969380378723
low,42,3.406976351140077e-05,4.7849928492685144e-05,38.869659423828125
low,43,5.7066093259808525e-05,6.850881324313145e-05,40.185141801834106
low,44,5.422074154921574e-05,2.47766538450378e-05,41.53693771362305
low,45,3.7912211519142146e-05,2.8446012464051006e-05,42.894596338272095
low,46,9.501642212357679e-05,2.7497219792728195e-05,44.29083442687988
low,47,4.5983467093306406e-05,4.0931777279028926e-05,45.680832386016846
low,48,3.092235577820578e-05,4.771037887660489e-05,47.076056480407715
low,49,5.52337920453283e-05,0.0002325631909077353,48.49465560913086
low,50,4.467677689800356e-05,3.086429937189059e-05,49.945892572402954
high,1,0.05916999124667861,0.014135864246240321,0.2230234146118164
high,2,0.00803145853463899,0.0057278917805153005,0.37962961196899414
high,3,0.0046859175411307,0.0033900544067171027,0.5390326976776123
high,4,0.0022664555411955173,0.0012784277799816684,0.7027590274810791
high,5,0.0008712978181640872,0.0006092421238637588,0.8540871143341064
high,6,0.0005450267069549723,0.0004969988262251098,1.00297212600708
high,7,0.0004570327533821745,0.0003792390452098458,1.1572649478912354
high,8,0.0003844913190484724,0.0003356965273579067,1.3261926174163818
high,9,0.000339935431971257,0.0002974689463797481,1.4845969676971436
high,10,0.00032091433068589224,0.0003161772852144303,1.652449607849121
