arch,epoch,train_mse,test_mse,time_s
high,11,0.0002919647731521929,0.0002480438948197766,1.80405855178833
high,12,0.0002644678327752362,0.00023857772612245753,1.9615581035614014
high,13,0.0002494838807747742,0.0002395671967570571,2.123314619064331
high,14,0.0002396447062809867,0.00022695527800254802,2.274555206298828
high,15,0.00022925350356010974,0.00020866906267288636,2.428199052810669
high,16,0.00021431084711697292,0.00019158879536491363,2.5858824253082275
high,17,0.00020314948639927686,0.0001884749941924151,2.7534923553466797
high,18,0.00019926279670802284,0.00020874823794076022,2.9237892627716064
high,19,0.00019246169084164482,0.00018237127663637016,3.0959877967834473
high,20,0.00019251553636753338,0.00017370995099438315,3.2772679328918457
high,21,0.0001876924362229395,0.000179338690941222,3.470777750015259
high,22,0.00017643015043259684,0.0001579601231880704,3.6531882286071777
high,23,0.00017127421326056886,0.00016247240799860632,3.819300889968872
high,24,0.0001692488066592804,0.00015560887612159702,3.9789206981658936
high,25,0.00017382701209333557,0.00016559210625734735,4.133922815322876
high,26,0.000155286871879732,0.0001422865896800315,4.295999526977539
high,27,0.00015674260470074263,0.00014408029513086806,4.458134889602661
high,28,0.00015369485012012196,0.00015279086569244875,4.615259885787964
high,29,0.00014795131163819778,0.00014337206115708388,4.768311262130737
high,30,0.0001536726270304908,0.000236532040326757,4.932591199874878
high,31,0.00014976418867511463,0.00013321472455417996,5.090501308441162
high,32,0.00014284357004560827,0.00018095765993534092,5.2442708015441895
high,33,0.00013857075054230254,0.0001260456443328331,5.4001195430755615
high,34,0.0001303553295491094,0.00012868115601954644,5.557170152664185
high,35,0.00012975455448957455,0.00013007305932795986,5.710277557373047
high,36,0.00013568254795576318,0.00013821540089841794,5.874476194381714
high,37,0.00012557523520875046,0.00011526474918355234,6.03463339805603
high,38,0.00011926870310245166,0.00011219740786436112,6.2041332721710205
high,39,0.0001244761134743881,0.00011190595018598153,6.367963552474976
high,40,0.00011879961808021604,0.0001090658939922813,6.569099426269531
high,41,0.00011122375730007083,0.00011480350571838109,6.751791477203369
high,42,0.00011331829862849025,0.00010873875014132205,6.923072099685669
high,43,0.00011217514481607148,0.00010194882401884435,7.094858169555664
high,44,0.0001044015305193501,0.00011308916858050656,7.256301403045654
high,45,0.00011131081638185688,9.315689478287513e-05,7.415466547012329
high,46,0.00010386056601419114,0.00012167659789408023,7.581678628921509
high,47,0.00010092669594583144,9.562615641117829e-05,7.7508323192596436
high,48,9.681778501544614e-05,9.027075398951134e-05,7.920823335647583
high,49,9.71997091917067e-05,0.00011023568437481794,8.081594705581665
high,50,9.557852754369379e-05,9.08061880723603e-05,8.259241580963135
