dataset_size,epoch,train_mse,test_mse,time_s
1000,34,7.608198839906518e-05,0.0002849021926522255,1.5516152381896973
1000,35,9.548552241705528e-05,0.00042188010993413625,1.593487024307251
1000,36,0.0001411334391873838,0.00029416480392683295,1.6366446018218994
1000,37,8.837479882376184e-05,0.0002880540705518797,1.6786432266235352
1000,38,7.228212383448739e-05,0.0002841108595021069,1.715242862701416
1000,39,6.995849517724392e-05,0.0002830545359756798,1.7609097957611084
1000,40,9.510847799405879e-05,0.00028143896779511126,1.7965776920318604
1000,41,9.13767081246161e-05,0.0002957573451567441,1.8326516151428223
1000,42,8.12039582921319e-05,0.00027476485993247477,1.8777871131896973
1000,43,7.147682878315787e-05,0.0002816867548972368,1.9218716621398926
1000,44,5.528486607628028e-05,0.0002802166680339724,1.9769127368927002
1000,45,5.703628415755123e-05,0.00026884296676144004,2.0182533264160156
1000,46,5.2778438905740835e-05,0.0002747078338870779,2.060527801513672
1000,47,6.856784569787455e-05,0.0002613195247249678,2.105621814727783
1000,48,6.12655802053103e-05,0.0002584425965324044,2.147223949432373
1000,49,5.216615136305336e-05,0.0002858856925740838,2.1888723373413086
1000,50,6.519159433082677e-05,0.0002563385758548975,2.2314534187316895
10000,1,0.019267765194473957,0.0016198820097649352,0.3468928337097168
10000,2,0.0006050399475498125,0.00024195595370714572,0.6514551639556885
10000,3,0.00019325964015231214,0.0002062835038931882,0.9787981510162354
10000,4,0.00014304723736131565,0.000157076914353851,1.287376880645752
10000,5,0.00011495617757397915,0.0001321619934157191,1.619908094406128
10000,6,0.00011439791808449875,0.0001080147975447657,2.0115303993225098
10000,7,9.060667004880749e-05,0.00010971540611167934,2.343674659729004
10000,8,9.432815128424077e-05,7.897682859193276e-05,2.7112624645233154
10000,9,8.634248886003413e-05,7.338643952104402e-05,3.046161413192749
10000,10,7.623969375510404e-05,8.435532405162527e-05,3.3792786598205566
10000,11,9.016944290620318e-05,7.553974656014149e-05,3.725252866744995
10000,12,7.128887470819543e-05,7.378699863577222e-05,4.175076723098755
10000,13,6.696674714806828e-05,9.492594278739528e-05,4.675168991088867
10000,14,7.103807406978872e-05,0.00010433152025104797,5.327557563781738
10000,15,6.95829941336838e-05,7.105537495474292e-05,6.040437936782837
10000,16,7.972966617341047e-05,7.742541647724253e-05,6.794424533843994
10000,17,5.8317663404688406e-05,0.0002916595239707447,7.531758546829224
10000,18,7.793345066602342e-05,0.00010345871030833533,8.342953205108643
10000,19,6.452837093423692e-05,0.00036082176449510486,9.15100383758545
10000,20,8.072681592404313e-05,3.733128145773043e-05,9.968779802322388
10000,21,5.3265146545362026e-05,3.549470370381506e-05,10.882486343383789
10000,22,4.4328483057721644e-05,0.00012178562223623963,11.702310800552368
10000,23,6.639868902725125e-05,8.550484849268848e-05,12.699472904205322
10000,24,5.1553710909502116e-05,5.3123737242013375e-05,13.608442783355713
10000,25,5.4792131992475e-05,3.42999837231857e-05,14.403345108032227
10000,26,0.00011678040388109036,8.535937175768962e-05,15.121103525161743
10000,27,4.229441944765065e-05,3.154339052305156e-05,15.88329005241394
10000,28,3.798693581054315e-05,3.289705567480501e-05,16.62968349456787
10000,29,2.8947665106732695e-05,3.419075364171418e-05,17.391658782958984
10000,30,3.985796970069218e-05,4.39546155517901e-05,18.190189361572266
10000,31,4.9920153345407346e-05,3.094829202033926e-05,18.998028993606567
10000,32,4.5339170934643e-05,0.00013722793896994652,19.8041353225708
10000,33,9.262239324346989e-05,9.801429745919527e-05,20.578500986099243
10000,34,3.987868754351935e-05,5.812970475551296e-05,21.377696990966797
10000,35,3.627983857189644e-05,3.7854069074804084e-05,22.22580599784851
10000,36,5.3053416492978366e-05,3.49920214540226e-05,23.067614316940308
10000,37,4.683007074080789e-05,5.049516751549821e-05,23.885093450546265
10000,38,4.188789237311787e-05,8.625501845443146e-05,24.66972064971924
10000,39,4.281189811246639e-05,5.2393961479847736e-05,25.46176552772522
10000,40,3.251070332804705e-05,4.26455618698457e-05,26.28838324546814
10000,41,4.482663695274492e-05,4.9525588342766376e-05,27.103674173355103
10000,42,3.970094902880109e-05,2.773781111597039e-05,27.901511669158936
10000,43,4.725781717835079e-05,3.777983565282255e-05,28.676686763763428
10000,44,3.8191023841963296e-05,4.973933391738683e-05,29.49367642402649
10000,45,7.752783287948908e-05,4.980636251585043e-05,30.317616939544678
10000,46,4.8429264775636095e-05,3.811706816084049e-05,31.15146255493164
10000,47,4.446222235194662e-05,8.190275285085862e-05,31.98987627029419
10000,48,4.479482917800355e-05,4.316464757256983e-05,32.852599143981934
10000,49,4.053774520633107e-05,0.00021461545962820502,33.717663288116455
10000,50,3.691338217983933e-05,9.417397829585094e-05,34.62913942337036
30000,1,0.006719260269087402,0.000173064205679524,1.1110246181488037
30000,2,0.0001430001879807301,0.00010407555345544949,2.191818952560425
30000,3,9.769100822923397e-05,7.817421499837903e-05,3.2636280059814453
30000,4,8.162629640020541e-05,7.329131076145415e-05,4.42108154296875
30000,5,7.943747525165666e-05,0.0006389684528475693,6.36958384513855
30000,6,8.234800670530288e-05,6.965253518540115e-05,8.546793222427368
30000,7,6.28822115625672e-05,0.00015682359125939073,10.8853919506073
30000,8,5.873212837001966e-05,5.5004569576146634e-05,13.134234189987183
30000,9,6.024527156833095e-05,6.080907999132496e-05,15.195196866989136
30000,10,5.686944328319005e-05,0.00024109363662415837,17.4310200214386
30000,11,6.868569887453131e-05,3.640410465668022e-05,19.709052801132202
30000,12,4.572903795677696e-05,6.357593476216652e-05,22.039681673049927
30000,13,5.495780065774158e-05,4.7918822690543176e-05,24.49134111404419
30000,14,4.435515519116823e-05,3.558669034626949e-05,26.930405855178833
30000,15,4.489406978031305e-05,5.180341315332714e-05,29.47223949432373
30000,16,5.843372355368024e-05,7.245704747471424e-05,32.08482646942139
30000,17,3.703636344227484e-05,5.010045727734299e-05,34.73833894729614
30000,18,4.404924257623391e-05,4.107907448700424e-05,37.28953003883362
30000,19,3.0684467765517136e-05,6.21545730364684e-05,39.91534352302551
30000,20,4.299410705169005e-05,0.00020669480196013716,42.57052969932556
30000,21,3.661886571300457e-05,9.954071036397137e-05,45.348350286483765
30000,22,4.178041620857626e-05,3.7180912763591204e-05,48.17672324180603
30000,23,3.337592644933919e-05,2.459630606402288e-05,50.905518531799316
30000,24,3.45572586748695e-05,7.80009335783766e-05,53.74282622337341
30000,25,3.824743267658625e-05,0.0001195629157975534,56.600127935409546
30000,26,3.2462705144167546e-05,2.6187338599611523e-05,59.48005414009094
30000,27,3.381879725627067e-05,1.9043909105675993e-05,62.34998059272766
30000,28,3.031296229317178e-05,6.117992739771916e-05,65.4053885936737
30000,29,3.403333453358913e-05,4.2593124172326627e-05,68.41040086746216
30000,30,2.8574808737253176e-05,9.415978424421161e-05,71.48013949394226
30000,31,2.8535272035019552e-05,2.4391768252465077e-05,74.58552193641663
30000,32,3.2436120271246446e-05,2.805191050369271e-05,77.76815152168274
30000,33,3.018632279404674e-05,0.00015172705133544638,80.90278768539429
30000,34,3.496277680807692e-05,4.471102178324648e-05,84.10121440887451
30000,35,2.8818966700639017e-05,0.00010458930949341994,87.34890246391296
30000,36,2.753629271348119e-05,3.587296574318935e-05,90.57659554481506
30000,37,2.5729323869197252e-05,2.459300889416659e-05,93.79928874969482
30000,38,2.3251911197333615e-05,3.392397963664006e-05,97.11513781547546
30000,39,3.201801126339962e-05,0.00012528061155058073,100.46001148223877
30000,40,2.5126932892834007e-05,3.914643183898788e-05,103.74646258354187
30000,41,2.3941390110440035e-05,4.012075654866342e-05,106.8523805141449
30000,42,2.7504499843068536e-05,2.0964961904674895e-05,110.04751443862915
30000,43,2.424761816522826e-05,3.0205326998219924e-05,113.26029348373413
30000,44,2.685310545942127e-05,1.576247626846117e-05,116.45313310623169
30000,45,2.5871943186085806e-05,9.023121919657156e-05,119.65093636512756
30000,46,2.5023574263123617e-05,6.602025920680414e-05,122.80869793891907
30000,47,2.3275167844886325e-05,1.651566267258765e-05,126.19770622253418
30000,48,2.3005643607080788e-05,4.3318880329128185e-05,129.62757802009583
30000,49,2.8243590186929117e-05,2.9665582400708665e-05,133.15402483940125
30000,50,2.1431682827028107e-05,2.0061477595413473e-05,136.58050513267517
50000,1,0.004285573469280921,0.00039158503306989975,2.136650562286377
50000,2,0.0001003845328313147,7.292049126687183e-05,4.116865158081055
50000,3,6.701588278636974e-05,5.696797409055239e-05,7.061005592346191
50000,4,6.524865435740654e-05,5.494685345261229e-05,10.569818496704102
50000,5,5.098632283566666e-05,9.582792479975863e-05,14.510733842849731
50000,6,7.380121706180352e-05,0.0001388812641380355,18.659414052963257
50000,7,5.681324173515491e-05,2.9781861079019555e-05,22.674001455307007
50000,8,5.0755397802888874e-05,0.00014038260557386589,26.950645446777344
50000,9,5.2084272574508643e-05,4.031737789386596e-05,31.48689556121826
50000,10,4.125286717916968e-05,2.8705607938389494e-05,36.24429965019226
50000,11,4.616645684579787e-05,1.8349476661743655e-05,41.01519155502319
50000,12,4.145274821480407e-05,3.446737984554505e-05,45.79543352127075
50000,13,4.396683980768906e-05,2.702080145490014e-05,50.92648458480835
50000,14,3.53874580482284e-05,2.2777922876752627e-05,56.046311378479004
50000,15,4.019222774290298e-05,4.591553397210404e-05,61.1472430229187
50000,16,3.728520860887001e-05,1.739550553657922e-05,66.21136212348938
50000,17,3.277302113673126e-05,5.099342840580032e-05,71.3006956577301
50000,18,2.9546433246720683e-05,1.5642064248281036e-05,76.57757830619812
50000,19,3.8666582134015396e-05,4.6601828379355904e-05,81.68587493896484
50000,20,2.7892608859158508e-05,2.095766235954138e-05,86.96877479553223
50000,21,3.398275944488423e-05,4.1437252234863214e-05,92.11506772041321
50000,22,3.365659508487294e-05,1.567582501477173e-05,97.46964836120605
50000,23,3.155844443232223e-05,4.284117773962901e-05,102.85470342636108
50000,24,2.457530363876411e-05,4.747806728738261e-05,108.34106159210205
50000,25,2.708315507543691e-05,3.134420495622722e-05,113.72597527503967
50000,26,2.7099493720441394e-05,3.484365222012709e-05,119.05718922615051
50000,27,2.4844877794379635e-05,3.957550760149272e-05,124.34067344665527
50000,28,2.5530373600562018e-05,2.641525402686192e-05,130.06003594398499
50000,29,2.443655931999608e-05,3.3419545620068054e-05,135.18723940849304
50000,30,2.342633160878904e-05,1.4190600645537068e-05,140.4778289794922
50000,31,2.4948948232032562e-05,1.2768389206030406e-05,145.7173671722412
50000,32,2.318475878151627e-05,1.5335975766650705e-05,150.52699065208435
50000,33,2.5642909987342948e-05,4.2752865231298704e-05,155.1782031059265
50000,34,2.234469835952759e-05,1.5497206873368805e-05,159.82809352874756
50000,35,2.2735360641176592e-05,1.599916704048581e-05,164.4619402885437
50000,36,2.078823920232827e-05,1.2977659548112647e-05,169.08603501319885
50000,37,2.292584343409391e-05,1.5411404347879454e-05,173.73066997528076
50000,38,2.1761631758759253e-05,1.8970925567431396e-05,178.34681010246277
50000,39,2.2488728391314226e-05,2.660815064681377e-05,182.88251185417175
50000,40,2.2166859544850878e-05,1.77440159143558e-05,187.31432962417603
50000,41,2.1095848748934958e-05,2.1222359421873524e-05,192.33901047706604
50000,42,2.302441907886532e-05,1.3678398184485094e-05,197.3580973148346
50000,43,1.7568106041108964e-05,1.1910546266122725e-05,202.3921709060669
50000,44,2.099933405158034e-05,2.4713955114767738e-05,206.78339338302612
50000,45,2.0009087937308552e-05,3.375090774615602e-05,211.14283108711243
50000,46,2.1052651071835968e-05,4.04578291636426e-05,215.58348155021667
50000,47,1.7615023238951362e-05,2.2205712094604523e-05,219.87168073654175
50000,48,2.219697030731928e-05,1.719233190708613e-05,224.195059299469
50000,49,1.861679470286145e-05,1.869922259000769e-05,228.51301646232605
50000,50,2.0740755385961276e-05,1.1975937822500511e-05,232.82231092453003
