dataset_size,epoch,train_mse,test_mse,time_s
1000,1,0.11960604617541487,0.0411242313683033,0.04915308952331543
1000,2,0.03840798495168036,0.03394957147538662,0.09581780433654785
1000,3,0.01965062464164062,0.012349926121532916,0.14340996742248535
1000,4,0.008756280411034822,0.009633285738527776,0.19377851486206055
1000,5,0.006769865454936569,0.00764846159145236,0.23265433311462402
1000,6,0.00541480461304838,0.0061225277371704575,0.2847287654876709
1000,7,0.0042153061155907135,0.004866811260581016,0.33138465881347656
1000,8,0.0032382015011865983,0.003876953013241291,0.3717076778411865
1000,9,0.0023870067565109243,0.0027436915319412948,0.4199695587158203
1000,10,0.001611409084448083,0.0019943194696679712,0.466036319732666
1000,11,0.0011232719195752659,0.0013831065269187092,0.5117912292480469
1000,12,0.0008731472136622125,0.000981206796132028,0.5540761947631836
1000,13,0.0005756370135879314,0.0007533729076385498,0.5905489921569824
1000,14,0.00042670663837766784,0.0006293508457019925,0.6269564628601074
1000,15,0.0003724345191254873,0.0005926937912590802,0.6597464084625244
1000,16,0.00031561681217598647,0.0005585050908848644,0.7010529041290283
1000,17,0.0002687806210649962,0.0004778980102855712,0.7425272464752197
1000,18,0.00025594070559071207,0.00043915547430515287,0.783524751663208
1000,19,0.0002190247138390656,0.0004060424747876823,0.8324339389801025
1000,20,0.00018760684245287186,0.0003714313788805157,0.8857219219207764
1000,21,0.00017432912467153403,0.0003966663498431444,0.939094066619873
1000,22,0.00015662083883812144,0.0003940889844670892,0.9799435138702393
1000,23,0.0001395141635756855,0.0003425733419135213,1.0289416313171387
1000,24,0.00015530602302698588,0.0005056149966549128,1.0818507671356201
1000,25,0.00018676915946839884,0.00032547168957535176,1.1288344860076904
1000,26,0.00013357364547449504,0.000359079462941736,1.183368444442749
1000,27,0.00014818827449661595,0.00032471609592903404,1.229719638824463
1000,28,0.0001140951614863959,0.0003254415205447003,1.2699601650238037
1000,29,0.00010699472080556337,0.0003036779206013307,1.3207039833068848
1000,30,8.514506440736692e-05,0.000303848143084906,1.3694100379943848
1000,31,7.901851429117166e-05,0.000298157156794332,1.4102895259857178
1000,32,9.058248344279656e-05,0.000287148158531636,1.4621636867523193
1000,33,7.812452200927179e-05,0.00028264042048249395,1.512730598449707
