surface,v0,theta,kappa,xi,rho,final_mse,num_evals,total_time_s
SPX_A,0.0010000000474974513,0.024270925670862198,2.0,0.3115825653076172,-0.5,810.475709756907,160,2.822667121887207
SPX_B,0.023250892758369446,0.06957992166280746,2.0,0.5,-0.5,115.75225231720233,152,0.9839503765106201
DAX,0.04535602033138275,0.09379296749830246,2.0,0.5,-0.5,1025.2427035414223,93,0.8020684719085693
