optimizer,epoch,train_mse,time_s
sgd,1,0.24065622409636325,0.14516830444335938
sgd,2,0.0943382610312917,0.2900402545928955
sgd,3,0.0539111792025241,0.4513204097747803
sgd,4,0.04338567688722502,0.608461856842041
sgd,5,0.04032643721862273,0.7701818943023682
sgd,6,0.038615504550662906,0.9384644031524658
sgd,7,0.03722741151736541,1.1068954467773438
sgd,8,0.03617968317121267,1.2785625457763672
sgd,9,0.03501304301687262,1.4448890686035156
sgd,10,0.033954708464443685,1.619750738143921
sgd,11,0.0328428418290886,1.7853004932403564
sgd,12,0.031899293021044946,1.9503965377807617
sgd,13,0.030805249461396175,2.119022846221924
sgd,14,0.029829789223996074,2.2823405265808105
sgd,15,0.028905955007807776,2.465095281600952
sgd,16,0.027957035110078073,2.64736270904541
sgd,17,0.02708978671580553,2.8237595558166504
sgd,18,0.026229616051370447,2.973437547683716
sgd,19,0.025435570085590536,3.146277666091919
sgd,20,0.024621299163184382,3.298835277557373
sgd,21,0.023775811391797932,3.443518877029419
sgd,22,0.023008882423693484,3.6072845458984375
sgd,23,0.022327736121687022,3.7514805793762207
sgd,24,0.021622587461024523,3.9171433448791504
sgd,25,0.020966427129777997,4.077632665634155
sgd,26,0.020349038671702145,4.231326580047607
sgd,27,0.0197408400983973,4.392456769943237
sgd,28,0.019179667329246346,4.5431976318359375
sgd,29,0.01851009102538228,4.696254014968872
sgd,30,0.018021627032960005,4.958007574081421
sgd,31,0.0175432027740912,5.174026250839233
sgd,32,0.017001744452863933,5.373788356781006
sgd,33,0.016523124150593173,5.590213775634766
sgd,34,0.016062647493725473,5.754377126693726
sgd,35,0.015634301965209572,5.903316497802734
sgd,36,0.015227427350526507,6.069088697433472
sgd,37,0.014826713925735518,6.228973865509033
sgd,38,0.014436901470815593,6.384232044219971
sgd,39,0.014067960513586348,6.56777286529541
sgd,40,0.013765492806719109,6.71295690536499
sgd,41,0.01341600613668561,6.882290840148926
sgd,42,0.013163061109794812,7.034684181213379
sgd,43,0.012827628605406392,7.207183122634888
sgd,44,0.012552391026507724,7.368884325027466
sgd,45,0.012247270629317923,7.511439323425293
sgd,46,0.012027501556175676,7.669825792312622
sgd,47,0.011785614473575895,7.824418544769287
sgd,48,0.011538431704552337,7.979974746704102
sgd,49,0.01131837610155344,8.151137828826904
sgd,50,0.011095137961886145,8.290549993515015
adam,1,0.02010023319585757,0.20453524589538574
adam,2,0.0018182384215337647,0.3935234546661377
adam,3,0.0005035377487233332,0.5925350189208984
adam,4,0.0003531722063516182,0.814338207244873
adam,5,0.00031158389822601087,1.0869247913360596
adam,6,0.0002787976460240316,1.388420581817627
adam,7,0.00025879887034534476,1.6513729095458984
adam,8,0.000232073021404424,1.870157241821289
adam,9,0.0002240736007727471,2.063019275665283
adam,10,0.00021807336326508614,2.275254487991333
adam,11,0.00020842269163536415,2.4919025897979736
adam,12,0.00018829727215978148,2.739311695098877
adam,13,0.00018247311596827453,2.963136911392212
adam,14,0.0001764696516726293,3.2670652866363525
adam,15,0.00017918835249226752,3.628352403640747
adam,16,0.0001622896262481597,3.932520627975464
adam,17,0.00016750859325508248,4.233525514602661
adam,18,0.00016254264135733882,4.547404050827026
adam,19,0.0001403878290809437,4.879835367202759
adam,20,0.00013051662492878015,5.150377988815308
adam,21,0.00013630285062721337,5.428315162658691
adam,22,0.00011918486416107044,5.696390867233276
adam,23,0.00011744388476389841,5.980046987533569
adam,24,0.00012117287230714944,6.246856689453125
adam,25,0.00011625259248830844,6.478553295135498
adam,26,0.0001045791949185183,6.723642826080322
adam,27,0.00011704692948445551,6.950386047363281
adam,28,0.0001230168243306583,7.162536859512329
adam,29,9.971919432494112e-05,7.401158571243286
adam,30,0.00010666090734461746,7.6256208419799805
adam,31,9.704186036701272e-05,7.843365907669067
adam,32,8.494378684686539e-05,8.060743808746338
adam,33,8.25780914469347e-05,8.291896104812622
adam,34,7.786584303010551e-05,8.515488862991333
adam,35,7.932877088023815e-05,8.7557213306427
adam,36,9.684178820118012e-05,8.998021602630615
adam,37,8.825434253429359e-05,9.244428873062134
adam,38,8.227088318645573e-05,9.484418153762817
adam,39,6.868303918798285e-05,9.732418060302734
adam,40,7.410317046543985e-05,10.001778364181519
adam,41,7.519715772187655e-05,10.27351188659668
adam,42,7.988677261892008e-05,10.56182336807251
adam,43,6.983605860362083e-05,10.828183889389038
adam,44,7.089808782025516e-05,11.109341144561768
adam,45,5.434285245759053e-05,11.378358125686646
adam,46,6.371076200263236e-05,11.657084465026855
adam,47,6.0920001917772676e-05,11.928260564804077
adam,48,5.6982376356080006e-05,12.213825702667236
adam,49,6.167254075328608e-05,12.472366333007812
adam,50,5.227114050450671e-05,12.772823333740234
